codigo_dane,departamento,municipio,subregion,habitantes,temperatura_promedio,altura,festival,fecha,sitio_1,maps_1,sitio_2,maps_2,sitio_3,maps_3,hotel_1,wa_1,hotel_2,wa_2,hotel_3,wa_3,latitud,longitud,fuente_geo,bandera_url
"13670","Bolívar","San Pablo","Caribe","37160.0","26.7","14.0","","","","","","","","","","","","","","","10.05154","-75.26775","geonames",""
"13673","Bolívar","Santa Catalina","Caribe","14039.0","25.8","36.0","","","","","","","","","","","","","","","10.60448","-75.29555","geonames",""
"13683","Bolívar","Santa Rosa","Caribe","18375.0","25.7","38.0","","","","","","","","","","","","","","","10.44472","-75.36972","geonames",""
"13688","Bolívar","Santa Rosa del Sur","Caribe","34015.0","22.2","778.0","","","","","","","","","","","","","","","7.6976","-74.27588","geonames",""
"13744","Bolívar","Simití","Caribe","15353.0","26.2","48.0","","","","","","","","","","","","","","","7.9579","-73.9436","geonames",""
"13760","Bolívar","Soplaviento","Caribe","8281.0","27.2","2.0","","","","","","","","","","","","","","","10.33176","-75.11853","geonames",""
"13780","Bolívar","Talaigua Nuevo","Caribe","12845.0","27.1","9.0","","","","","","","","","","","","","","","9.32011","-74.65587","geonames",""
"13810","Bolívar","Tiquisio","Caribe","18786.0","26.1","27.0","","","","","","","","","","","","","","","8.47801","-74.30626","geonames",""
"13836","Bolívar","Turbaco","Caribe","63046.0","25.8","118.0","","","","","","","","","","","","","","","10.35707","-75.38044","geonames",""
"13838","Bolívar","Turbaná","Caribe","13493.0","26.2","35.0","","","","","","","","","","","","","","","10.23528","-75.45612","geonames",""
"13873","Bolívar","Villanueva","Caribe","31727.0","26.4","185.0","","","","","","","","","","","","","","","5.28333","-71.96667","geonames",""
"13894","Bolívar","Zambrano","Caribe","11367.0","26.7","67.0","","","","","","","","","","","","","","","9.74823","-74.88487","geonames",""
"15001","Boyacá","Tunja","Centro","172548.0","11.8","2693.0","","","","","","","","","","","","","","","5.54481","-73.35756","geonames",""
"15022","Boyacá","Almeida","Centro","2294.0","11.1","2647.0","","","","","","","","","","","","","","","4.9226","-73.41131","geonames",""
"15047","Boyacá","Aquitania","Centro","16592.0","12.5","2403.0","","","","","","","","","","","","","","","5.40341","-72.90192","geonames",""
